Item,Size,kcal
Fried Chicken,1 Portion,247
Fried Chicken Breast,1 Portion,247
Fried Chicken Leg,1 Piece,265
Fried Chicken Sandwich,1 Item,480
Fried Chicken Thigh,1 Portion,313
Fried Chicken Wing,1 Piece,168
Fried Cod Fillet,1 Portion,157
Fried Dough Stick,1 Piece,150
Fried Duck Breast,1 Portion,495
Fried Egg,1 Item,117
Fried Egg Sandwich,1 Item,370
Fried Eggplant,1 Portion,37
Fried Eggs with Avocado,1 Portion,363
Fried Eggs with Bacon,1 Portion,182
Fried Eggs with Salami,1 Portion,399
Fried Eggs with Hash Browns,1 Portion,327
Fried Eggs with Mushrooms,1 Portion,379
Fried Eggs with Pancakes,1 Portion,333
Fried Eggs with Sausage,1 Portion,355
Fried Eggs with Spinach,1 Portion,199
Fried Eggs with Toast,1 Portion,248
Fried Eggs with Tomatoes,1 Portion,338
Fried Eggs with Waffles,1 Portion,307
Fried Fish,1 Portion,180
Fried Green Beans,1 Portion,46
Fried Ice Cream,1 Piece,450
Fried Kale,1 Portion,49
Fried Lamb,1 Portion,423
Fried Lamb Chop,1 Portion,435
Fried Mixed Vegetables,1 Portion,52
Fried Mushrooms,1 Portion,33
Fried Okra,1 Cup,270
Fried Plantains,1 Portion,215
Fried Pork,1 Portion,346
Fried Pork Chop,1 Portion,375
Fried Pork Ribs,1 Item,450
Fried Rice,1 Cup,238
Fried Rice Pork,1 Cup,365
Fried Rice Shrimp,1 Cup,330
Fried Rice Vegetable,1 Cup,280
Fried Salmon,1 Portion,309
Fried Salmon Fillet,1 Portion,312
Fried Seafood,1 Portion,225
Fried Shrimp,1 Portion,148
Fried Spinach,1 Portion,34
Fried Sweet Corn,1 Portion,129
Fried Sweet Potatoes,1 Portion,129
Fried Tapioca,1 Portion,200
Fried Tilapia Fillet,1 Portion,165
Fried Tofu,1 Portion,114
Fried Tofu Skewer,1 Item,80
Fried Tuna,1 Portion,198
Fried Turkey Breast,1 Portion,202
Fried Vegetables,1 Portion,120
Fried Zucchini,1 Portion,25
Frijoles Refritos,1 Cup,280
Frikadelle,1 Item,170
Frisee,1 Cup,15
Frisee Aux Lardons,1 Portion,290
Frisee Lettuce,1 Cup,9
Frito Pie,1 Piece,460
Fritos,1 Portion,160
Frittata Cheese,1 Slice,230
Frog Legs,100g,73
Frozen Lasagna,1 Portion,350
Frozen Pizza,1 Slice,300
Frozen Yogurt,1 Cup,221
Frozen Yogurt Tart,1 Cup,200
Fruit Bar,1 Item,70
Fruit Cake,1 Slice,302
Fruit Cup,1 Cup,70
Fruit Leather,1 Item,50
Fruit Punch,1 Cup,120
Fruit Salad,1 Cup,74
Fruit Snacks,1 Item,80
Fruit Tart,1 Slice,350
Fudge Bar,1 Item,90
Fudge Chocolate,1 Portion,115
Fufu,1 Portion,340
Ful Medames,1 Portion,220
Full English Breakfast,1 Portion,1150
Funnel Cake,1 Piece,260
Funyuns Onion Rings,1 Portion,130
Fusilli with Sauce,1 Portion,470
Fuyu Persimmon,1 Item,118
Gado Gado,1 Portion,380
Gai Yang,1 Item,250
Gajar Ka Halwa,1 Cup,350
Galaktoboureko,1 Piece,350
Galangal,100g,70
Galbi,1 Portion,450
Galbi Ribs,1 Item,540
Galbitang,1 Cup,280
Galette Bretonne,1 Slice,290
Gambas Al Ajillo,1 Portion,250
Gamjatang,1 Cup,240
Ganjang Gejang,100g,130
Garam Masala,1 Teaspoon,8
Garden Salad,1 Portion,80
Garden Salad with Dressing,1 Portion,184
Garlic,1 Item,4
Garlic Bread,1 Slice,186
Garlic Mashed Potatoes,1 Portion,237
Garlic Naan,1 Piece,300
Garlic Pizza,1 Slice,260
Garlic Powder,1 Teaspoon,10
Garlic Scape,100g,73
Gateau Basque,1 Slice,340
Gatorade,1 Item,140
Gazpacho,1 Cup,56
Gazpacho Andaluz,1 Portion,80
Gazpacho Manchego,1 Portion,400
Gelato,1 Cup,290
Gelato Pistachio,1 Cup,370
Gelato Stracciatella,1 Cup,300
Gelato Vanilla,1 Cup,280
Gemista,1 Portion,440
Gemista Orfana,1 Portion,290
General Tso Chicken,1 Portion,450
Genoa Salami,1 Portion,107
Geoduck,100g,85
German Chocolate Cake,1 Slice,440
Ghee,1 Tablespoon,112
Ghormeh Sabzi,1 Portion,380
Ghoyime Aloo,1 Portion,380
Giardiniera,1 Cup,80
Gimbap,1 Item,330
Gin,1 Portion,97
Gin and Tonic,1 Item,171
Ginger Brownie,1 Item,324
Ginger Cake,1 Slice,378
Ginger Cheesecake,1 Slice,459
Ginger Cookie,1 Item,128
Ginger Cupcake,1 Item,266
Ginger Ground,1 Teaspoon,6
Ginger Muffin,1 Item,310
Ginger Pie,1 Slice,373
Ginger Root,1 Tablespoon,5
Ginger Scone,1 Item,274
Ginger Snap Cookie,1 Piece,30
Gingerbread,1 Piece,263
Glazed Artichoke,1 Portion,84
Glazed Asparagus,1 Portion,28
Glazed Bacon,1 Portion,170
Glazed Beef,1 Portion,350
Glazed Beef Ribs,1 Item,448
Glazed Broccoli,1 Portion,77
Glazed Brussels Sprouts,1 Portion,60
Glazed Cauliflower,1 Portion,35
Glazed Cheese,1 Portion,392
Glazed Chicken,1 Portion,230
Glazed Egg,1 Portion,109
Glazed Eggplant,1 Portion,35
Glazed Fish,1 Portion,168
Glazed Green Beans,1 Portion,43
Glazed Kale,1 Portion,46
Glazed Lamb,1 Portion,394
Glazed Mixed Vegetables,1 Portion,49
Glazed Mushrooms,1 Portion,30
Glazed Pork,1 Portion,323
Glazed Pork Ribs,1 Item,420
Glazed Potatoes,1 Portion,107
Glazed Salmon,1 Portion,288
Glazed Seafood,1 Portion,210
Glazed Shrimp,1 Portion,138
Glazed Spinach,1 Portion,32
Glazed Sweet Corn,1 Portion,120
Glazed Sweet Potatoes,1 Portion,120
Glazed Tofu,1 Portion,106
Glazed Tuna,1 Portion,184
Glazed Vegetables,1 Portion,112
Glazed Zucchini,1 Portion,23
Globe Artichoke,1 Item,60
Glutinous Rice,1 Cup,234
Gnocchi,1 Cup,250
Gnocchi Gorgonzola,1 Portion,520
Gnocchi Pesto,1 Portion,490
Gnocchi Potato,1 Portion,430
Gnocchi Sorrentina,1 Portion,480
Goat,100g,143
Goat Cheese,1 Portion,103
Goat Meat,100g,143
Goat Milk,1 Cup,168
Gobi Manchurian,1 Portion,320
Gobi Paratha,1 Piece,270
Gochujang,1 Tablespoon,45
Goi Cuon,2 Items,130
Goji Berries,1 Cup,150
Goldfish Crackers,55 Pieces,140
Goose,100g,238
Goose Egg,1 Item,266
Goose Meat,100g,305
Gooseberries,1 Cup,66
Gooseberry Jam,1 Tablespoon,48
Gordita,1 Item,280
Gorgonzola,1 Portion,100
Gouda,1 Portion,101
Goulash Beef,1 Portion,360
Goulash Hungarian Soup,1 Portion,300
Gozleme,1 Piece,350
Grana Padano,1 Portion,117
Granadilla,1 Item,97
Grand Marnier,1 Portion,100
Granola Bar,1 Item,220
Granola Clusters,1 Cup,560
Granola Honey,1 Cup,596
Granola Plain,1 Cup,512
Grapes Jam,1 Tablespoon,50
Grapes Juice,1 Cup,152
Grapes Nuts,1 Cup,416
Grapes Seed Oil,1 Tablespoon,120
Grape Tomatoes,1 Cup,30
Grapefruit,1 Item,52
Grapefruit Juice,1 Cup,96
Grapes,1 Cup,104
Gratin Dauphinois,1 Portion,390
Gravlax,100g,156
Gravy Chicken,1 Cup,95
Gravy Mushrooms,1 Cup,90
Gravy Turkey,1 Cup,120
Great Northern Beans,1 Cup,209
Greek Dressing,2 Tablespoons,130
Greek Salad,1 Portion,350
Greek Yogurt Nonfat,1 Cup,100
Greek Yogurt Plain,1 Cup,130
Green and Agave Smoothie,1 Cup,296
Green and Chia Smoothie,1 Cup,186
Green and Flaxseed Smoothie,1 Cup,320
Green and Honey Smoothie,1 Cup,310
Green and Kale Smoothie,1 Cup,303
Green and Oats Smoothie,1 Cup,292
Green and Peanut Butter Smoothie,1 Cup,312
Green and Spinach Smoothie,1 Cup,210
Green and Yogurt Smoothie,1 Cup,233
Green Apple,1 Item,63
Green Bean Casserole,1 Portion,250
Green Beans,1 Cup,31
Green Beans Almondine,1 Portion,140
Green Beans Steamed,1 Cup,44
Green Curry Thai,1 Cup,340
Green Goddess Dressing,2 Tablespoons,120
Green Grapefruit,1 Item,52
Green Juice,1 Cup,50
Green Lentils,1 Cup,230
Green Onion,1 Item,5
Green Orange,1 Item,62
Green Pea Soup,1 Portion,198
Green Peach,1 Item,59
Green Pear,1 Item,100
Green Pepper Pizza,1 Slice,255
Green Plum,1 Item,30
Green Split Peas,1 Cup,231
Green Tea,1 Cup,0
Grilled Apple,1 Portion,100
Grilled Artichoke,1 Portion,60
Grilled Asparagus,1 Portion,40
Grilled Avocado,1 Portion,100
Grilled Bacon,1 Portion,165
Grilled Banana,1 Portion,100
Grilled Beef,1 Portion,250
Grilled Beef Ribs,1 Item,320
Grilled Beef Steak,1 Portion,270
Grilled Broccoli,1 Portion,55
Grilled Brussels Sprouts,1 Portion,43
Grilled Cabbage,1 Portion,100
Grilled Cauliflower,1 Portion,25
Grilled Cheese,1 Portion,280
Grilled Cheese Sandwich,1 Item,437
Grilled Chicken,1 Portion,165
Grilled Chicken Breast,1 Portion,165
Grilled Chicken Salad,1 Portion,370
Grilled Chicken Thigh,1 Portion,209
Grilled Cod Fillet,1 Portion,105
Grilled Corn,1 Item,155
Grilled Corn Mexican,1 Item,200
Grilled Duck Breast,1 Portion,330
Grilled Egg,1 Portion,78
Grilled Eggplant,1 Portion,25
Grilled Fish,1 Portion,120
Grilled Flank Steak,100g,192
Grilled Green Beans,1 Portion,31
Grilled Kale,1 Portion,33
Grilled Lamb,1 Portion,282
Grilled Lamb Chop,1 Portion,290
Grilled Mango,1 Portion,100
Grilled Mixed Vegetables,1 Portion,35
Grilled Mushrooms,1 Portion,22
Grilled Pear,1 Portion,100
Grilled Pineapple,1 Portion,100
Grilled Pork,1 Portion,231
Grilled Pork Chop,1 Portion,250
Grilled Pork Ribs,1 Item,300
Grilled Portobello Mushrooms,1 Piece,22
Grilled Potatoes,1 Portion,77
Grilled Salmon,1 Portion,206
Grilled Salmon Fillet,1 Portion,208
Grilled Seafood,1 Portion,150
Grilled Shrimp,1 Portion,99
Grilled Spinach,1 Portion,23
Grilled Sweet Corn,1 Portion,86
Grilled Sweet Potatoes,1 Portion,86
Grilled Swordfish,100g,121
Grilled T-Bone Steak,100g,271
Grilled Tilapia Fillet,1 Portion,110
Grilled Tofu,1 Portion,76
Grilled Tuna,1 Portion,132
Grilled Turkey Breast,1 Portion,135
Grilled Vegetable Skewer,1 Item,80
Grilled Vegetables,1 Portion,80
Grilled Zucchini,1 Portion,17
Grits,1 Cup,182
Grits with Cheese,1 Cup,260
Ground Beef,100g,254
Ground Chicken,100g,237
Ground Lamb,100g,283
Ground Pork,100g,297
Ground Turkey,100g,203
Ground Veal,100g,172
Grouper,100g,92
Gruel Oat,1 Cup,150
Gruyere,1 Portion,117
Guacamole,2 Tablespoons,45
Soursop,100g,66
Guanciale,1 Portion,150
Guava,1 Item,37
Gudeg,1 Cup,260
Guinea Fowl,100g,158
Guinea Pig Meat,100g,170
Gulab Jamun,1 Piece,150
Gumbo,1 Cup,240
Gummy Bears,10 Pieces,87
Gummy Worms,10 Pieces,110
Gyoza Pork,4 Pieces,240
Gyoza Vegetable,4 Pieces,200
Pork Gyro Sandwich,1 Item,593
Gyudon,1 Portion,650
Habanero Pepper,1 Item,18
Haddock,100g,87
Haemul Pajeon,1 Item,330
Haggis,1 Portion,400
Hainanese Chicken Rice,1 Portion,530
Haleem,1 Portion,400
Half and Half,1 Tablespoon,20
Halibut,100g,110
Halloumi,1 Portion,90
Halo Halo Filipino,1 Portion,310
Halva,1 Portion,130
Halwa Semolina,1 Piece,290
Ham,100g,145
Ham Honey,100g,163
Ham Pizza,1 Slice,280
Ham Salad,1 Cup,560
Salami Sandwich,1 Item,290
Ham Smoked,100g,185
Ham Steak,100g,152
Ham Steak Glazed,1 Item,220
Hamburger,1 Item,354
Hand Pulled Noodles,1 Portion,450
Har Gow,5 Pieces,165
Hard Boiled Egg,1 Item,78
Hard Candy,1 Piece,25
Hard Seltzer,1 Portion,100
Harira Moroccan Soup,1 Portion,210
Harissa,1 Tablespoon,20
Hash Browns,1 Portion,150
Hashbrown Casserole,1 Cup,350
Hasselback Potatoes,1 Item,220
Haupia Coconut Pudding,1 Piece,180
Havarti,1 Portion,105
Hawaiian Pizza Slice,1 Slice,260
Hawaiian Poke Bowl,1 Portion,480
Hayashi Rice,1 Portion,560
Hazelnut Cappuccino,1 Item,206
Hazelnut Frappe,1 Item,228
Hazelnut Latte,1 Item,121
Hazelnut Macchiato,1 Item,244
Hazelnut Mocha,1 Item,237
Hazelnuts,1 Portion,178
Hearts of Palm,1 Cup,41
Heavy Cream,1 Tablespoon,51
Heirloom Tomato,1 Item,33
Hemp Milk,1 Cup,60
Hemp Oil,1 Tablespoon,120
Hemp Seeds,1 Portion,166
Hemp Tofu,100g,120
Herbal Tea,1 Cup,2
Herring,100g,203
Hickory Nuts,1 Portion,186
High Protein Yogurt,1 Cup,120
Hijiki Seaweed,100g,35
Hoisin Sauce,1 Tablespoon,35
Hokkien Mee,1 Portion,490
Hollandaise Sauce,2 Tablespoons,80
Honey,1 Tablespoon,64
Honey Cake,1 Slice,310
Honey Mustard,1 Tablespoon,30
Honey Mustard Dressing,2 Tablespoons,110
Honey Roasted Almonds,1 Portion,146
Honey Roasted Cashews,1 Portion,135
Honey Roasted Cheese Puffs,1 Portion,138
Honey Roasted Mixed Nuts,1 Portion,156
Honey Roasted Peanuts,1 Portion,164
Honey Roasted Pistachios,1 Portion,160
Honey Roasted Popcorn,1 Portion,145
Honey Roasted Pork Rinds,1 Portion,144
Honey Roasted Potato Chips,1 Portion,135
Honey Roasted Pretzels,1 Portion,190
Honey Roasted Pumpkin Seeds,1 Portion,172
Honey Roasted Sunflower Seeds,1 Portion,130
Honey Roasted Tortilla Chips,1 Portion,174
Honey Roasted Walnuts,1 Portion,135
Honey Smacks Cereal,1 Cup,133
Honey Walnut Shrimp,1 Cup,470
Honeydew Melon,1 Cup,61
Hoppin John,1 Portion,340
Horchata,1 Cup,250
Horiatiki,1 Cup,125
Kiwano,1 Item,92
Horsemeat,100g,133
Horseradish,1 Tablespoon,7
Horseradish Sauce,1 Tablespoon,20
Hot and Sour Soup,1 Cup,91
Hot Apple Cider,1 Cup,117
Hot Brown,1 Portion,650
Hot Chocolate,1 Cup,200
Hot Dog Wiener,1 Item,151
Hot Dog Bun,1 Item,120
Hot Dog,1 Item,290
Hot Fudge,2 Tablespoons,140
Hot Pot Broth Plain,1 Cup,30
Hot Sauce,1 Teaspoon,5
Hot Toddy,1 Cup,180
Hotteok,1 Piece,200
Hu Tieu,1 Portion,400
Huarache,1 Piece,450
Huevos Motulenos,1 Portion,480
Huevos Rancheros,1 Portion,440
Hummus,2 Tablespoons,70
Hunan Beef,1 Cup,350
Hush Puppies,1 Piece,74
Hyderabadi Haleem,1 Portion,420
Ice Cream Bar,1 Piece,210
Ice Cream Brownie Sundae,1 Item,500
Ice Cream Butter Pecan,1 Cup,330
Ice Cream Cake,1 Slice,290
Ice Cream Cone,1 Item,250
Ice Cream Cone Waffle,1 Item,417
Ice Cream Cookies and Cream,1 Cup,310
Ice Cream Dulce De Leche,1 Cup,330
Ice Cream French Vanilla,1 Cup,560
Ice Cream Mint Chip,1 Cup,285
Ice Cream Mint Chocolate Chip,1 Cup,580
Ice Cream Neapolitan,1 Cup,270
Ice Cream Peanut Butter,1 Cup,340
Ice Cream Pistachio,1 Cup,290
Ice Cream Rocky Road,1 Cup,320
Ice Cream Salted Caramel,1 Cup,320
Ice Cream Sandwich,1 Piece,190
Ice Cream Strawberry,1 Cup,254
Ice Cream Sundae,1 Item,400
Ice Cream Vanilla,1 Cup,275
Ice Kachang,1 Portion,250
Ice Pop Fruit,1 Piece,40
Iceberg Lettuce,1 Cup,10
Iced Coffee,1 Cup,5
Iced Tea Sweetened,1 Cup,90
Iced Tea Unsweetened,1 Cup,2
Idiazabal,1 Portion,115
Idli,1 Piece,39
Idli Sambar,1 Portion,250
Ilama,100g,64
Imagawayaki,1 Piece,150
Imam Bayildi,1 Portion,220
Imitation Crab,100g,95
Inari Sushi,2 Pieces,130
Indian Gooseberry,100g,44
Injera,1 Piece,130
Injera with Tibs,1 Portion,530
Insalata Caprese,1 Portion,180
Instant Mashed Potatoes,1 Cup,160
Instant Noodles,1 Portion,380
Instant Oatmeal,1 Portion,100
Instant Oatmeal Flavored,1 Portion,130
Involtini,2 Items,280
Iranian Kabab Koobideh,1 Item,200
Irish Car Bomb,1 Item,230
Irish Coffee,1 Cup,210
Irish Cream Liqueur,1 Portion,102
Irish Stew,1 Portion,350
Iskender Kebab,1 Portion,660
Israeli Couscous,1 Cup,210
Israeli Salad,1 Portion,80
Italian Bread,1 Slice,81
Italian Dressing,2 Tablespoons,71
Italian Parsley,1 Cup,22
Italian Sandwich,1 Item,420
Italian Sausage,1 Item,125
Italian Seasoning,1 Teaspoon,4
Italian Sub,1 Item,660
Italian Wedding Cookie,1 Piece,72
Italian Wedding Soup,1 Cup,130
Jackfruit,1 Cup,157
Jackfruit Chips,1 Portion,140
Jackfruit Pulled,100g,95
Jade Perch,100g,91
Jagermeister,1 Portion,103
Jagerschnitzel,1 Portion,450
Jajangmyeon,1 Portion,650
Jalapeno Pepper,1 Item,4
Jalapeno Pizza,1 Portion,260
Jalapeno,1 Item,4
Jalapeno Dip,2 Tablespoons,40
Jalebi,1 Piece,250
Jam Raspberry,1 Tablespoon,50
Jam Strawberry,1 Tablespoon,50
Jamaica Water,1 Cup,100
Jambalaya,1 Cup,310
Jamon Iberico,1 Portion,70
Jamon Serrano,1 Portion,60
Janssons Temptation,1 Portion,350
Japanese Curry Rice,1 Portion,600
Japanese Pickles Tsukemono,1 Portion,20
Japchae,1 Portion,390
Jarlsberg,1 Portion,100
Pasta Sauce,1 Cup,240
Jasmine Rice,1 Cup,205
Jamun,100g,60
Jeera Rice,1 Cup,220
Jello Cup,1 Cup,80
Jello Salad,1 Cup,150
Jelly Beans,10 Pieces,41
Jelly,1 Tablespoon,50
Jellyfish Dried,100g,32
Jerk Chicken,1 Portion,370
Jerk Pork,1 Portion,400
Jerusalem Artichoke,100g,73
Jian Bing Chinese Crepe,1 Piece,340
Jianbing,1 Item,280
Jicama,1 Cup,46
John Dory,100g,85
Jokbal,100g,212
Jollof Rice,1 Portion,420
Jolly Rancher,1 Piece,23
Jordan Almonds,10 Pieces,87
Jujube,100g,79
Kabocha Squash,1 Cup,40
Kadai Chicken,1 Portion,430
Kadai Paneer,1 Portion,430
Kaesekuchen German,1 Slice,320
Kafta,1 Item,140
Kahlua,1 Portion,107
Chinese Broccoli,100g,26
Kaiserschmarrn,1 Piece,410
Kaju Katli,1 Piece,65
Kakigori,1 Portion,150
Kale,1 Cup,33
Kale Chips,1 Portion,50
Kale Salad,1 Portion,130
Kale Salad with Dressing,1 Portion,285
Kamut,1 Cup,251
Kanafeh,1 Piece,370
Kangaroo,100g,98
Kangkong,100g,19
Karaage,1 Cup,340
Kartoffelpuffer,1 Item,180
Kartoffelpuffer Potato Pancake,1 Piece,160
Kartoffelsalat,1 Cup,250
Kasha Buckwheat Porridge,1 Cup,182
Kashipan,1 Item,290
Kassler,100g,185
Katsu Chicken,1 Portion,490
Katsu Curry,1 Portion,620
Katsudon,1 Portion,600
Kaya Toast,1 Item,270
Kebab Barg,1 Item,220
Kebab Shish,1 Item,200
Kedgeree,1 Portion,400
Keema Matar,1 Portion,370
Keema Naan,1 Piece,350
Kelp,100g,43
Ketchup,1 Tablespoon,19
Key Lime Pie,1 Slice,410
Key West Shrimp,1 Portion,300
Khao Man Gai,1 Portion,480
Khao Niaow Ma Muang,1 Portion,400
Khao Pad Thai Fried Rice,1 Portion,450
Khao Soi,1 Portion,580
Kheer,1 Cup,296
Khichdi,1 Cup,200
Kibbeh,1 Piece,160
Kibbeh Nayyeh Raw,1 Portion,230
Kidney Beans,1 Cup,225
Kidney Beans Dark Red,1 Cup,225
Kidney Beans Light Red,1 Cup,219
Kielbasa,100g,301
Kimbap,1 Item,320
Kimchi,1 Cup,23
Kimchi Fried Rice,1 Portion,400
Kimchi Jjigae,1 Portion,250
Kimchi Pancake,1 Piece,280
King Cake,1 Slice,350
King Crab Legs,100g,84
Kingfish,100g,105
Kitfo Ethiopian Beef,1 Portion,350
Kiwi,1 Item,42
Kladdkaka Sticky Chocolate Cake,1 Slice,400
Kleftiko,1 Portion,450
Klondike Bar,1 Item,250
Knish,1 Piece,290
Knodel Potato Dumpling,1 Piece,120
Kofta Curry,1 Portion,430
Kofte,1 Item,160
Kohlrabi,1 Cup,36
Kombu,100g,43
Kombucha,1 Cup,30
Kool Aid,1 Cup,60
Korean Barbecue Samgyeopsal,1 Portion,500
Korean Corn Dog,1 Piece,290
Korean Fried Chicken,1 Portion,540
Korean Zucchini,100g,17
Korma Chicken,1 Portion,450
Kottu Roti,1 Portion,550
Kouign Amann,1 Item,350
Kourambiedes,1 Piece,190
Kubba,1 Piece,180
Kulcha,1 Piece,280
Kulfi,1 Piece,180
Kumpir,1 Item,650
Kumquat,1 Item,13
Kung Pao Chicken,1 Portion,430
Kung Pao Shrimp,1 Cup,350
Kung Pao Tofu,1 Cup,280
Kasespatzle,1 Portion,560
Konigsberger Klopse,1 Portion,350
Laab Chicken,1 Cup,200
Laab Pork,1 Cup,240
Labneh,2 Tablespoons,60
Labskaus,1 Portion,370
Laccha Paratha,1 Piece,280
Lace Cookie,1 Piece,60
Lactose Free Milk,1 Cup,127
Laduree Macaron,1 Piece,100
Ladyfinger Biscuit,1 Piece,36
Lahmacun,1 Piece,260
Laksa,1 Item,580
Laksa Assam,1 Item,400
Laksa Noodle Soup,1 Item,580
Lamb Bowl,1 Portion,366
Lamb Brain,100g,140
Lamb Burger,1 Item,423
Lamb Cake,1 Portion,423
Lamb Casserole,1 Portion,394
Lamb Chop,100g,294
Lamb Curry,1 Portion,394
Lamb Fritter,1 Piece,394
Lamb Green Curry,1 Portion,517
Lamb Jalfrezi,1 Portion,494
Lamb Kidney,100g,97
Lamb Korma,1 Portion,504
Lamb Leg,100g,191
Lamb Madras,1 Portion,444
Lamb Mansaf,1 Portion,620
Lamb Massaman,1 Portion,584
Lamb Omelette,1 Portion,366
Lamb Panang,1 Portion,594
Lamb Pasta,1 Portion,394
Lamb Plate,1 Portion,394
Lamb Rack,100g,294
Lamb Red Curry,1 Portion,592
Lamb Rib,100g,292
Lamb Risotto,1 Portion,380
Lamb Rogan Josh,1 Portion,430
Lamb Saag,1 Portion,420
Lamb Salad,1 Portion,282
Lamb Skewer,1 Item,310
Lamb Soup,1 Portion,310
Lamb Stew,1 Portion,366
Lamb Sweetbreads,100g,144
Lamb Taco,1 Item,338
Lamb Tikka Masala,1 Portion,597
Lamb Vindaloo,1 Portion,433
Lamb Wrap,1 Item,366
Lamb Yellow Curry,1 Portion,544
Lancashire Cheese,1 Portion,120
Lancashire Hotpot,1 Portion,450
Langoustine,100g,83
Langsat,100g,57
Lanzones,100g,57
Larabar,1 Item,210
Larb Gai,1 Portion,250
Lard,1 Tablespoon,115
Lardo,1 Portion,180
Lasagna,1 Portion,450
Lasagna Bolognese,1 Portion,560
Cheese Lasagna,1 Portion,480
Vegetables Lasagna,1 Portion,330
Lassi Mango,1 Cup,280
Lassi Plain,1 Item,150
Latke Potato Pancake,1 Piece,140
Latte,1 Cup,130
Laughing Cow,1 Item,35
Laulau,1 Portion,380
Lavash,1 Item,100
Lebanese Fattoush,1 Portion,190
Leberkase,100g,318
Lebkuchen,1 Item,140
Leek,1 Cup,54
Leek and Potato Soup,1 Portion,200
Lemon,1 Item,17
Lemon Bars,1 Piece,192
Lemon Brownie,1 Item,295
Lemon Butter,1 Tablespoon,75
Lemon Cake,1 Slice,290
Lemon Cheesecake,1 Slice,427
Lemon Chicken,1 Cup,360
Lemon Cookie,1 Item,165
Lemon Cupcake,1 Item,244
Lemon Curd,1 Tablespoon,50
Lemon Drizzle Cake,1 Slice,380
Lemon Frozen Yogurt,1 Item,138
Lemon Gelato,1 Item,168
Lemon Grass,100g,99
Lemon Ice Cream,1 Item,181
Lemon Meringue Pie,1 Slice,362
Lemon Milkshake,1 Cup,358
Lemon Muffin,1 Item,303
Lemon Pie,1 Slice,417
Lemon Rice,1 Cup,250
Lemon Scone,1 Item,181
Lemon Sole,100g,85
Lemon Sorbet,1 Item,101
Lemon Sundae,1 Item,443
Lemonade,1 Cup,99
Lentil Bisque Soup,1 Cup,301
Lentil Broth Soup,1 Cup,230
Lentil Burger Patty,1 Piece,130
Lentil Chowder Soup,1 Cup,329
Lentil Chunky Soup,1 Cup,204
Lentil Cream of Soup,1 Cup,251
Lentil Fry,1 Portion,230
Lentil Green Curry,1 Portion,416
Lentil Jalfrezi,1 Portion,565
Lentil Korma,1 Portion,376
Lentil Madras,1 Portion,597
Lentil Massaman,1 Portion,352
Lentil Noodle Soup,1 Cup,96
Lentil Panang,1 Portion,590
Lentil Red Curry,1 Portion,597
Lentil Rice Soup,1 Cup,157
Lentil Rogan Josh,1 Portion,385
Lentil Saag,1 Portion,381
Lentil Salad,1 Portion,230
Lentil Soup,1 Cup,180
Lentil Spicy Soup,1 Cup,177
Lentil Stew Soup,1 Cup,201
Lentil Tabbouleh,1 Portion,140
Lentil Tikka Masala,1 Portion,383
Lentil Vindaloo,1 Portion,407
Lentil Yellow Curry,1 Portion,567
Lentils,1 Cup,230
Lentils Brown,1 Cup,230
Lentils Red,1 Cup,230
Licorice,4 Pieces,140
Licorice Twist,1 Piece,35
Light Cream,1 Tablespoon,29
Light Mayonnaise,1 Tablespoon,35
Lima Beans,1 Cup,216
Limburger,1 Portion,93
Lime,1 Item,20
Limeade,1 Cup,104
Limpet,100g,79
Lingcod,100g,85
Linguine Alle Vongole,1 Portion,430
Linguine with Sauce,1 Portion,370
Linzer Torte,1 Slice,310
Liqueur Coffee,1 Portion,107
Liqueur Cream,1 Portion,154
Liqueur Orange,1 Portion,103
Liver and Onions,1 Portion,310
Liverwurst,1 Portion,93
Liverwurst Spread,2 Tablespoons,90
Llama Meat,100g,120
Lo Mein Beef,1 Cup,390
Lo Mein Chicken,1 Portion,440
Lo Mein Noodles,1 Cup,220
Lo Mein Pork,1 Cup,385
Lo Mein Vegetables,1 Portion,340
Loaded Baked Potato,1 Item,430
Lobster,100g,98
Lobster Bisque,1 Cup,310
Lobster Roll,1 Item,436
Lobster Thermidor,1 Portion,490
Loco Moco,1 Portion,700
Loganberries,1 Cup,81
Lollipop,1 Item,45
Lomi Lomi Salmon,1 Portion,180
Lomo Saltado,1 Portion,500
Long Island Iced Tea,1 Item,292
Longan,100g,60
Lonza,1 Portion,50
Loquat,100g,47
Lotus Root,100g,74
Loukoumades,4 Pieces,220
Lowcountry Boil,1 Portion,500
Lumpia,3 Items,210
Lumpia Filipino,1 Piece,70
Lupin Beans,1 Cup,198
Lutefisk,1 Portion,110
Lychee,100g,66
Lychee Juice,1 Cup,121
M&M Candies,1 Portion,140
Ma Lai Go,1 Slice,180
Maafe Peanut Stew,1 Portion,430
Yellow Cheese,1 Slice,75
Mac and Cheese,1 Cup,310
Mac and Cheese Baked,1 Portion,480
Mac and Cheese with Bacon,1 Cup,400
Macadamia Milk,1 Cup,50
Macadamia Nuts,1 Portion,204
Macaron,1 Piece,100
Macaron French,1 Item,70
Plain Pasta,1 Portion,200
Plain Whole Grain Pasta,1 Portion,170
Macaroni Salad,1 Cup,371
Macaroni with Sauce,1 Portion,320
Pasta Alfredo,1 Portion,500
Pasta Arrabbiata,1 Portion,320
Pasta Bolognese,1 Portion,400
